Date,Team,Acquired,Relinquished,Notes
1/2/2014,Magic,,Nikola Vucevic,sprained left ankle (DNP)
1/2/2014,Nets,,Tyshawn Taylor,hamstring injury (DNP)
1/2/2014,Suns,,Eric Bledsoe,sprained right knee (DTD)
1/3/2014,Clippers,,Chris Paul,separated right shoulder (out indefinitely)
1/3/2014,Jazz,,Mike Harris,personal reasons (DNP)
1/3/2014,Knicks,,Kenyon Martin,sore left ankle (DNP)
1/3/2014,Knicks,,Metta World Peace / Ron Artest,sore left knee (DNP)
1/3/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/3/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/3/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/3/2014,Mavericks,,Wayne Ellington,illness (DNP)
1/3/2014,Rockets,,Omer Asik,bruised right thigh (DNP)
1/3/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/4/2014,Bobcats,,Jeffery Taylor / Jeff Taylor (b),torn right Achilles tendon (DNP)
1/4/2014,Bucks,,John Henson,sprained left ankle (DNP)
1/4/2014,Bulls,,Carlos Boozer,sore/bruised right knee (DNP)
1/4/2014,Clippers,,Chris Paul,separated right shoulder (DNP)
1/4/2014,Magic,,Nikola Vucevic,sprained left ankle (DNP)
1/4/2014,Nets,,Brook Lopez,surgery on right foot to repair fracture (out for season)
1/4/2014,Nets,Andray Blatche,,activated from IL
1/4/2014,Timberwolves,,Luc Richard Mbah a Moute / Luc Mbah a Moute,strained left groin (DNP)
1/5/2014,Cavaliers,,Jarrett Jack,back spasms (DNP)
1/5/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/5/2014,Knicks,,Metta World Peace / Ron Artest,sore left knee (DNP)
1/5/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/5/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/5/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/5/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/5/2014,Pistons,,Rodney Stuckey,sore shoulder (DNP)
1/6/2014,76ers,,Tony Wroten Jr.,flu (DNP)
1/6/2014,Magic,,Ronnie Price,sinus infection (DNP)
1/6/2014,Nets,,Deron Williams,sprained left ankle (DNP)
1/6/2014,Timberwolves,,Luc Richard Mbah a Moute / Luc Mbah a Moute,strained left groin (DNP)
1/7/2014,76ers,,Tony Wroten Jr.,flu (DNP)
1/7/2014,Bobcats,,Jeffery Taylor / Jeff Taylor (b),torn right Achilles tendon (DNP)
1/7/2014,Bucks,,John Henson,sprained left ankle (DNP)
1/7/2014,Bulls,,Carlos Boozer,sore right knee (DNP)
1/7/2014,Celtics,,Kris Humphries,sprained left ankle (DNP)
1/7/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/7/2014,Heat,,Mario Chalmers,right Achilles injury (DNP)
1/7/2014,Jazz,,Andris Biedrins,flu (DNP)
1/7/2014,Knicks,,Tyson Chandler,upper respiratory infection (DNP)
1/7/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/7/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/7/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/7/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/7/2014,Pistons,,Rodney Stuckey,sore shoulder (DNP)
1/7/2014,Spurs,,Tiago Splitter,sprained/separated right shoulder (DNP)
1/7/2014,Thunder,,Serge Ibaka,flu (DNP)
1/8/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/8/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/8/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/8/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/8/2014,Magic,,Ronnie Price,sinus infection (DNP)
1/8/2014,Nets,,Deron Williams,sprained left ankle (DNP)
1/8/2014,Rockets,,Chandler Parsons,sore right knee (DNP)
1/8/2014,Rockets,,Greg Smith (a),sprained/sore right / left (CBC) knee (DNP)
1/8/2014,Rockets,,Omer Asik,bruised right thigh (DNP)
1/8/2014,Spurs,,Emanuel Ginobili / Manu Ginobili,tightness in left hamstring (DNP)
1/8/2014,Spurs,,Tiago Splitter,sprained right shoulder (DNP)
1/9/2014,Heat,,Mario Chalmers,strained right Achilles (DNP)
1/9/2014,Knicks,,Beno Udrih,left knee injury (DNP)
1/9/2014,Knicks,,Tyson Chandler,upper respiratory infection (DNP)
1/9/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/9/2014,Nuggets,,Wilson Chandler,strained left hip (DNP)
1/10/2014,76ers,,Lavoy Allen,strained right calf (DNP)
1/10/2014,Bobcats,,Jeffery Taylor / Jeff Taylor (b),torn right Achilles tendon (DNP)
1/10/2014,Bucks,,John Henson,sprained left ankle (DNP)
1/10/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/10/2014,Heat,,Dwyane Wade,knee injury / rest (DNP)
1/10/2014,Heat,,Mario Chalmers,strained right Achilles (DNP)
1/10/2014,Jazz,,Gordon Hayward,strained left hip flexor (DNP)
1/10/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/10/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/10/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/10/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/10/2014,Magic,,Ronnie Price,sinus infection (DNP)
1/10/2014,Mavericks,,Wayne Ellington,illness (DNP)
1/10/2014,Nets,,Deron Williams,sprained left ankle (DNP)
1/10/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/10/2014,Rockets,,Chandler Parsons,sore right knee (DNP)
1/10/2014,Rockets,,Omer Asik,bruised right thigh (DNP)
1/10/2014,Suns,,Eric Bledsoe,arthroscopic surgery on right knee to repair meniscus cartilage
1/11/2014,76ers,,Lavoy Allen,strained right calf (DNP)
1/11/2014,Bobcats,,Jeffery Taylor / Jeff Taylor (b),torn right Achilles tendon (DNP)
1/11/2014,Bucks,,John Henson,sprained left ankle (DNP)
1/11/2014,Bulls,,Jimmy Butler,bruised thigh (DNP)
1/11/2014,Knicks,,Beno Udrih,inflammation (DNP)
1/11/2014,Knicks,,Tyson Chandler,upper respiratory infection (DNP)
1/11/2014,Magic,,Arron Afflalo,sprained right foot (DNP)
1/11/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/11/2014,Magic,,Ronnie Price,sinus infection (DNP)
1/11/2014,Mavericks,,Wayne Ellington,illness (DNP)
1/11/2014,Nets,,Kevin Garnett,rest (DNP)
1/11/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/11/2014,Nuggets,,Anthony Randolph,sprained left ankle (DNP)
1/11/2014,Nuggets,,Wilson Chandler,strained left hip (DNP)
1/11/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/11/2014,Pelicans,,Tyreke Evans,sore left ankle (DNP)
1/11/2014,Rockets,,Chandler Parsons,sore right knee (DNP)
1/11/2014,Rockets,,Omer Asik,bruised right thigh (DNP)
1/12/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/12/2014,Hawks,,Pero Antic,back spasms (DNP)
1/12/2014,Spurs,,Emanuel Ginobili / Manu Ginobili,tightness in left hamstring (DNP)
1/13/2014,Jazz,,Andris Biedrins,flu (DTD)
1/13/2014,Knicks,,Tyson Chandler,upper respiratory infection (DNP)
1/13/2014,Magic,,Arron Afflalo,sprained right foot (DNP)
1/13/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/13/2014,Magic,,Ronnie Price,sinus infection (DNP)
1/13/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/13/2014,Nuggets,,Anthony Randolph,sprained left ankle (DNP)
1/13/2014,Nuggets,,Darrell Arthur,strained left groin (DNP)
1/13/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/13/2014,Pelicans,,Tyreke Evans,sprained left ankle (DNP)
1/13/2014,Rockets,,Omer Asik,bruised right thigh (DNP)
1/13/2014,Spurs,,Danny Green,fractured left index finger (DNP)
1/13/2014,Mavericks,,Shawn Marion,bruised right shoulder (DNP)
1/14/2014,Celtics,,Keith Bogans,personal reasons (out indefinitely)
1/14/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/14/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/14/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/14/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/15/2014,76ers,,Lavoy Allen,strained right calf (DNP)
1/15/2014,Celtics,,Keith Bogans,personal reasons (DNP)
1/15/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/15/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/15/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/15/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/15/2014,Magic,,Arron Afflalo,sprained right foot (DNP)
1/15/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/15/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/15/2014,Nuggets,,Darrell Arthur,strained left groin (DNP)
1/15/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/15/2014,Pelicans,,Tyreke Evans,sprained left ankle (DNP)
1/15/2014,Rockets,,Aaron Brooks,tendinitis in knee (DNP)
1/15/2014,Rockets,,Omer Asik,bruised right thigh (DNP)
1/15/2014,Suns,,Leandro Barbosa,sprained right shoulder (DNP)
1/16/2014,Hawks,,DeMarre Carroll,personal reasons (DNP)
1/16/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
1/16/2014,Rockets,,Omer Asik,bruised right thigh (DNP)
1/17/2014,76ers,,Lavoy Allen,left calf injury (P) / strained right calf (CBC) (DNP)
1/17/2014,Celtics,,Keith Bogans,placed on IL for personal reasons (out for season)
1/17/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/17/2014,Heat,,Greg Oden,knee injury (DNP)
1/17/2014,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sprained left ankle (DNP)
1/17/2014,Knicks,,Kenyon Martin,sprained left ankle (DNP)
1/17/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/17/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/17/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/17/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/17/2014,Magic,,Ronnie Price,sprained right foot (DNP)
1/17/2014,Mavericks,,Gal Mekel,arthroscopic surgery on right knee to repair torn lateral meniscus (out indefinitely)
1/17/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/17/2014,Nuggets,,Darrell Arthur,strained left groin/hip (DNP)
1/17/2014,Suns,,Leandro Barbosa,sprained right shoulder (DNP)
1/18/2014,Heat,,Dwyane Wade,rest (DNP)
1/18/2014,Pelicans,,Jason Smith,right knee injury (DNP)
1/18/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/18/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
1/18/2014,Rockets,,Omer Asik,bruised right thigh (DNP)
1/19/2014,Bobcats,,Kemba Walker,sprained left ankle (DTD)
1/19/2014,Bucks,,Caron Butler,illness (DNP)
1/19/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/19/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/19/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/19/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/19/2014,Magic,,Ronnie Price,sprained right foot (DNP)
1/19/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/19/2014,Nuggets,,Darrell Arthur,strained left groin/hip (DNP)
1/19/2014,Nuggets,,Randy Foye,stomach virus (DNP)
1/19/2014,Spurs,,(William) Tony Parker,bruised right shin (DNP)
1/19/2014,Spurs,,Matt Bonner,fractured nose (DNP)
1/19/2014,Raptors,,John Salmons,back spasms (DNP)
1/20/2014,76ers,,Brandon Davies,finger injury (DTD)
1/20/2014,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
1/20/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/20/2014,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sprained left ankle (DNP)
1/20/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/20/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/20/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/20/2014,Pelicans,,Anthony Morrow,illness (DNP)
1/20/2014,Pelicans,,Jason Smith,right knee injury (DNP)
1/20/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/20/2014,Raptors,,Landry Fields,placed on IL for personal reasons
1/20/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
1/20/2014,Rockets,,Terrence Jones,bruised left thigh (DNP)
1/20/2014,Wizards,,Trevor Booker,sprained left ankle (DNP)
1/21/2014,Celtics,,Jerryd Bayless,sprained left big toe (DNP)
1/21/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/21/2014,Magic,,Ronnie Price,sprained right foot (DNP)
1/21/2014,Nuggets,,Danilo Gallinari,surgery on left knee to reconstruct ACL (out for season)
1/21/2014,Pelicans,,Anthony Morrow,illness (DNP)
1/21/2014,Pelicans,,Jason Smith,right knee injury (DNP)
1/21/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/22/2014,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
1/22/2014,Bobcats,,Kemba Walker,sprained left ankle (DNP)
1/22/2014,Bucks,,Larry Sanders (b),illness (DNP)
1/22/2014,Bucks,,O.J. Mayo,illness (DNP)
1/22/2014,Bulls,,Carlos Boozer,left calf injury (DNP)
1/22/2014,Celtics,,Avery Bradley,sprained right ankle (out indefinitely)
1/22/2014,Celtics,,Rajon Rondo,rest / sore right knee (DNP)
1/22/2014,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sprained left ankle (DNP)
1/22/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/22/2014,Magic,,Ronnie Price,sprained right foot (DNP)
1/22/2014,Raptors,,Landry Fields,surgery on right wrist (out indefinitely)
1/22/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
1/22/2014,Rockets,,Ronnie Brewer,sore right calf (DNP)
1/22/2014,Rockets,,Terrence Jones,bruised left thigh (DNP)
1/22/2014,Spurs,,Kawhi Leonard,fractured right hand (out indefinitely)
1/22/2014,Rockets,,Francisco Garcia,sore left knee (DNP)
1/23/2014,Hawks,,Pero Antic,stress fracture in right ankle (out indefinitely)
1/23/2014,Knicks,,Andrea Bargnani,torn ligament in left elbow (out for season)
1/23/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/23/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/23/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/23/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/23/2014,Nuggets,,Darrell Arthur,strained left groin/hip (DNP)
1/24/2014,76ers,,Brandon Davies,fractured right pinky finger (DNP)
1/24/2014,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
1/24/2014,Bobcats,,Kemba Walker,sprained left ankle (DNP)
1/24/2014,Grizzlies,,Tony Allen,hand injury / sprained left wrist (DNP)
1/24/2014,Hawks,,DeMarre Carroll,strained left hamstring (DNP)
1/24/2014,Hawks,,Pero Antic,stress fracture in right ankle (DNP)
1/24/2014,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sprained left ankle (DNP)
1/24/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/24/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/24/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/24/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/24/2014,Magic,,Ronnie Price,sprained right foot (DNP)
1/24/2014,Pelicans,,Jason Smith,right knee injury (DNP)
1/24/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/24/2014,Pelicans,,Tyreke Evans,illness (DNP)
1/24/2014,Rockets,,Francisco Garcia,sore left knee (DNP)
1/24/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
1/24/2014,Rockets,,Ronnie Brewer,sore right calf (DNP)
1/24/2014,Thunder,,Kevin Durant,sore shoulder (DNP)
1/24/2014,Wizards,,Martell Webster,flu (DNP)
1/25/2014,Bobcats,,Kemba Walker,sprained left ankle (DNP)
1/25/2014,Bucks,,Ekpe Udoh,sprained left ankle (DNP)
1/25/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/25/2014,Hawks,,Jeff Teague,sprained left ankle (DNP)
1/25/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/25/2014,Nuggets,,Darrell Arthur,strained left groin/hip (DNP)
1/25/2014,Rockets,,Francisco Garcia,sore left knee (DNP)
1/25/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
1/25/2014,Rockets,,Ronnie Brewer,sore right calf (DNP)
1/26/2014,Bucks,,Carlos Delfino,surgery on right foot (out for season) (CBC)
1/26/2014,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sprained left ankle (DNP)
1/26/2014,Knicks,,Metta World Peace / Ron Artest,stomach virus (DNP)
1/26/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/26/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/26/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/26/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/26/2014,Magic,,Ronnie Price,sprained right foot (DNP)
1/26/2014,Nuggets,,Darrell Arthur,strained left groin/hip (DNP)
1/26/2014,Pelicans,,Jason Smith,right knee injury (DNP)
1/26/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/27/2014,Bucks,,Ekpe Udoh,sprained left ankle (DNP)
1/27/2014,Bucks,,Larry Sanders (b),illness (DNP)
1/27/2014,Bucks,,O.J. Mayo,illness (DNP)
1/27/2014,Bulls,,Joakim Noah,illness (DNP)
1/27/2014,Hawks,,Jeff Teague,sprained left ankle (DNP)
1/27/2014,Raptors,,DeMar DeRozan,sprained left ankle/foot (DNP)
1/28/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/28/2014,Knicks,,Beno Udrih,illness (DTD)
1/28/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/28/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/28/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/28/2014,Magic,,Nikola Vucevic,concussion (DNP)
1/28/2014,Magic,,Ronnie Price,sprained right foot (DNP)
1/28/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/28/2014,Pistons,,Charlie Villanueva,stomach virus (DNP)
1/28/2014,Rockets,,Francisco Garcia,sore left knee (DNP)
1/28/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
1/28/2014,Rockets,,James Harden,bruised left thumb (DNP)
1/28/2014,Rockets,,Ronnie Brewer,sore right calf (DNP)
1/28/2014,Timberwolves,,Nikola Pekovic,bursitis in right ankle (out indefinitely)
1/29/2014,76ers,,Brandon Davies,fractured right pinky finger (DNP)
1/29/2014,Bobcats,,Ben Gordon,illness (DNP)
1/29/2014,Bobcats,,Kemba Walker,sprained left ankle (DNP)
1/29/2014,Bucks,,Ekpe Udoh,sprained left ankle (DNP)
1/29/2014,Bucks,,O.J. Mayo,illness (DNP)
1/29/2014,Celtics,,Rajon Rondo,rest / sore right knee (DNP)
1/29/2014,Clippers,,Antawn Jamison,illness (DNP)
1/29/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/29/2014,Magic,,Ronnie Price,sprained right foot (DNP)
1/29/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/29/2014,Nuggets,,Ty Lawson,strained left rotator cuff (DNP)
1/29/2014,Pelicans,,Anthony Davis,finger injury (DNP)
1/29/2014,Pelicans,,Jason Smith,right knee injury (DNP)
1/29/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
1/29/2014,Raptors,,Patrick Patterson,fractured nose (DNP)
1/29/2014,Rockets,,Francisco Garcia,sore left knee (DNP)
1/29/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
1/29/2014,Rockets,,James Harden,bruised left thumb (DNP)
1/30/2014,Knicks,,Beno Udrih,illness (DNP)
1/30/2014,Knicks,,Iman Shumpert,sprained right shoulder (DNP)
1/30/2014,Knicks,,Kenyon Martin,sprained left ankle (DNP)
1/31/2014,76ers,,Brandon Davies,fractured right pinky finger (DNP)
1/31/2014,Bobcats,,Kemba Walker,sprained left ankle (DNP)
1/31/2014,Bucks,,Ekpe Udoh,sprained left ankle (DNP)
1/31/2014,Bucks,,John Henson,sprained right wrist (DNP)
1/31/2014,Bucks,,O.J. Mayo,illness (DNP)
1/31/2014,Grizzlies,,Tony Allen,hand injury (DNP)
1/31/2014,Jazz,,John Lucas III,sore back (DNP)
1/31/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
1/31/2014,Lakers,,Steve Blake,torn ligament in right elbow (DNP)
1/31/2014,Lakers,,Xavier Henry,bone bruise in right knee (DNP)
1/31/2014,Nets,,Andrei Kirilenko,sore right calf (DNP)
1/31/2014,Nuggets,,Andre Miller,personal reasons (DNP)
1/31/2014,Nuggets,,Ty Lawson,strained left rotator cuff (DNP)
1/31/2014,Warriors,,David Lee,sore/sprained left shoulder (DNP)
1/31/2014,Nuggets,,Nate Robinson,torn ACL in left knee (out indefinitely)
1/31/2014,Nuggets,,Nate Robinson,surgery on left knee to repair torn ACL (out indefinitely)
2/1/2014,76ers,,Brandon Davies,fractured right pinky finger (DNP)
2/1/2014,76ers,,Michael Carter-Williams,sore right shoulder (DNP)
2/1/2014,Bobcats,,Kemba Walker,sprained left ankle (DNP)
2/1/2014,Bucks,,Ekpe Udoh,sprained left ankle (DNP)
2/1/2014,Bucks,,O.J. Mayo,illness (DNP)
2/1/2014,Grizzlies,,Tony Allen,hand injury (DNP)
2/1/2014,Jazz,,John Lucas III,sore back (DNP)
2/1/2014,Lakers,,Pau Gasol,strained right groin (DNP)
2/1/2014,Nets,,Andray Blatche,hip injury (DNP)
2/1/2014,Nets,,Andrei Kirilenko,sore right calf (DNP)
2/1/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/1/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
2/1/2014,Rockets,,Francisco Garcia,sore left knee (DNP)
2/1/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
2/1/2014,Cavaliers,,Anderson Varejao,bruised left knee (DNP)
2/1/2014,Kings,,DeMarcus Cousins,sprained left ankle (DNP)
2/2/2014,Celtics,,Gerald Wallace,personal reasons (DNP)
2/2/2014,Magic,,Jameer Nelson,sore left knee (DNP)
2/3/2014,Bucks,,Ekpe Udoh,sprained left ankle (DNP)
2/3/2014,Bucks,,O.J. Mayo,illness (DNP)
2/3/2014,Grizzlies,,Tony Allen,hand injury (DNP)
2/3/2014,Jazz,,John Lucas III,sore back (DNP)
2/3/2014,Magic,,Jameer Nelson,sore left knee (DNP)
2/3/2014,Nets,,Andray Blatche,hip injury (DNP)
2/3/2014,Nets,,Andrei Kirilenko,sore right calf (DNP)
2/3/2014,Nets,,Joe Johnson,right knee tendinitis (DNP)
2/3/2014,Nuggets,,Andre Miller,personal reasons (DNP)
2/3/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/3/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/3/2014,Pelicans,,Jrue Holiday,stress fracture in right ankle/tibia (DNP)
2/3/2014,Pistons,,Chauncey Billups,left knee injury (DNP)
2/3/2014,Pistons,,Josh Harrellson,knee injury (DTD)
2/3/2014,Wizards,,Trevor Booker,placed on IL for personal reasons
2/3/2014,Hawks,,John Jenkins,back injury (out for season)
2/3/2014,Hawks,,John Jenkins,surgery on lower back (out for season)
2/4/2014,Lakers,,Jordan Farmar,torn left hamstring (DNP)
2/4/2014,Lakers,,Pau Gasol,strained right groin (DNP)
2/5/2014,76ers,,Brandon Davies,fractured right pinky finger (DNP)
2/5/2014,Bucks,,Ekpe Udoh,sprained left ankle (DNP)
2/5/2014,Bucks,,O.J. Mayo,illness (DNP)
2/5/2014,Grizzlies,,Tony Allen,hand injury (DNP)
2/5/2014,Lakers,,Jodie Meeks,sprained right ankle (DNP)
2/5/2014,Lakers,,Jordan Hill,cervical strain (DNP)
2/5/2014,Lakers,,Pau Gasol,strained right groin (DNP)
2/5/2014,Lakers,,Steve Nash,rest (DNP)
2/5/2014,Nuggets,,Andre Miller,personal reasons (DNP)
2/5/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/5/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/5/2014,Pelicans,,Tyreke Evans,rib injury (DNP)
2/5/2014,Pistons,,Chauncey Billups,left knee injury (DNP)
2/5/2014,Rockets,,Francisco Garcia,sore left knee (DNP)
2/5/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
2/5/2014,Timberwolves,,Corey Brewer,placed on IL for personal reasons
2/5/2014,Timberwolves,,Kevin Love,stiff neck (DNP)
2/5/2014,Wizards,Trevor Booker,,activated from IL
2/6/2014,Bulls,,Carlos Boozer,strained left calf (DNP)
2/6/2014,Lakers,,Nick Young,fractured patella in left knee (out indefinitely)
2/6/2014,Spurs,,Boris Diaw,food poisoning (DNP)
2/6/2014,Spurs,,Tim Duncan,rest (DNP)
2/6/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
2/7/2014,76ers,,Brandon Davies,fractured right pinky finger (DNP)
2/7/2014,Blazers,,Maurice Williams / Mo Williams,placed on IL for personal reasons
2/7/2014,Cavaliers,,Luol Deng,flu (DNP)
2/7/2014,Celtics,,Avery Bradley,sore right ankle (DNP)
2/7/2014,Celtics,,Rajon Rondo,rest / sore right knee (DNP)
2/7/2014,Clippers,,Hidayet Turkoglu / Hedo Turkoglu,bruised right knee (DNP)
2/7/2014,Lakers,,Jodie Meeks,sprained right ankle (DNP)
2/7/2014,Lakers,,Jordan Farmar,rest / torn left hamstring (DNP)
2/7/2014,Lakers,,Nick Young,fractured patella in left knee (DNP)
2/7/2014,Lakers,,Pau Gasol,strained right groin (DNP)
2/7/2014,Nets,,Kevin Garnett,rest (DNP)
2/7/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/7/2014,Pacers,,Lance Stephenson,sore lower back (DNP)
2/7/2014,Pelicans,,Jason Smith,right knee injury (DNP)
2/8/2014,Bucks,,Ekpe Udoh,sprained left ankle (DNP)
2/8/2014,Bucks,,Ersan Ilyasova,back injury (DNP)
2/8/2014,Bucks,,Luke Ridnour,back injury (DNP)
2/8/2014,Bucks,,O.J. Mayo,illness (DNP)
2/8/2014,Grizzlies,,Tony Allen,hand injury (DNP)
2/8/2014,Nuggets,,Andre Miller,personal reasons (DNP)
2/8/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
2/8/2014,Rockets,,Francisco Garcia,sore left knee (DNP)
2/8/2014,Rockets,,Greg Smith (a),sore right knee (DNP)
2/8/2014,Spurs,,Marco Belinelli,back spasms (DNP)
2/8/2014,Spurs,,Tiago Splitter,bruised right calf (DNP)
2/8/2014,Timberwolves,,Kevin Love,bruised left quadriceps (DNP)
2/8/2014,Warriors,,Nemanja Nedovic,strained left hamstring (DNP)
2/9/2014,Bulls,,Carlos Boozer,strained left calf (DNP)
